"Frequency(GHz)","k_eff(2π/b)"
9.75,-0.09779518708822998
9.75,0.09779518708822998
9.76,-0.09542357601441294
9.76,0.09542357601441294
9.770000000000001,-0.09304588002668258
9.770000000000001,0.09304588002668258
9.780000000000001,-0.09066207777061927
9.780000000000001,0.09066207777061927
9.790000000000001,-0.08827214942793986
9.790000000000001,0.08827214942793986
9.8,-0.08587607671253393
9.8,0.08587607671253393
9.81,-0.08347384286200571
9.81,0.08347384286200571
9.82,-0.08106543262455408
9.82,0.08106543262455408
9.83,-0.07865083223929288
9.83,0.07865083223929288
9.84,-0.07623002940932808
9.84,0.07623002940932808
9.850000000000001,-0.07380301326560991
9.850000000000001,0.07380301326560991
9.860000000000001,-0.07136977431986269
9.860000000000001,0.07136977431986269
9.870000000000003,-0.06893030440358683
9.870000000000003,0.06893030440358683
9.88,-0.0664845965900839
9.88,0.0664845965900839
9.89,-0.06403264509483965
9.89,0.06403264509483965
9.9,-0.06157444514866859
9.9,0.06157444514866859
9.91,-0.05910999283549385
9.91,0.05910999283549385
9.92,-0.0566392848846099
9.92,0.0566392848846099
9.930000000000001,-0.054162318402451
9.930000000000001,0.054162318402451
9.940000000000001,-0.051679090524268445
9.940000000000001,0.051679090524268445
9.950000000000001,-0.0491895979565897
9.950000000000001,0.0491895979565897
9.96,-0.046693836370052456
9.96,0.046693836370052456
9.97,-0.0441917995825414
9.97,0.0441917995825414
9.98,-0.04168347844346268
9.98,0.04168347844346268
9.99,-0.03916885928329172
9.99,0.03916885928329172
10.,-0.036647921716397955
10.,0.036647921716397955
10.01,-0.034120635457076935
10.01,0.034120635457076935
10.020000000000001,-0.03158695558724626
10.020000000000001,0.03158695558724626
10.030000000000003,-0.029046815314637858
10.030000000000003,0.029046815314637858
10.040000000000001,-0.026500114510446954
10.040000000000001,0.026500114510446954
10.05,-0.023946700835087858
10.05,0.023946700835087858
10.06,-0.021386337162145514
10.06,0.021386337162145514
10.07,-0.018818642056594455
10.07,0.018818642056594455
10.08,-0.01624297305142939
10.08,0.01624297305142939
10.09,-0.01365817609311167
10.09,0.01365817609311167
10.100000000000001,-0.011061978839872975
10.100000000000001,0.011061978839872975
10.110000000000001,-0.008449248264170052
10.110000000000001,0.008449248264170052
10.120000000000003,-0.005805454636266019
10.120000000000003,0.005805454636266019
10.129999999999999,-0.003065500033460597
10.129999999999999,0.003065500033460597
10.14,0.-0.0011972922542572725*I
10.14,0.+0.0011972922542572725*I
10.15,-0.001144916372957651
10.15,0.001144916372957651
10.16,-0.004209902496830122
10.16,0.004209902496830122
10.17,-0.0069186284736644016
10.17,0.0069186284736644016
10.180000000000001,-0.009582922658972292
10.180000000000001,0.009582922658972292
10.190000000000001,-0.012235386018043255
10.190000000000001,0.012235386018043255
10.200000000000001,-0.014885220541356657
10.200000000000001,0.014885220541356657
10.21,-0.01753603735394245
10.21,0.01753603735394245
10.22,-0.020189532912920347
10.22,0.020189532912920347
10.23,-0.022846599213834907
10.23,0.022846599213834907
10.24,-0.025507741306197734
10.24,0.025507741306197734
10.25,-0.028173259185013833
10.25,0.028173259185013833
10.26,-0.03084333597575244
10.26,0.03084333597575244
10.270000000000001,-0.03351808434198119
10.270000000000001,0.03351808434198119
10.280000000000003,-0.03619757255818292
10.280000000000003,0.03619757255818292
10.290000000000001,-0.03888183996934034
10.290000000000001,0.03888183996934034
10.3,-0.04157090658590605
10.3,0.04157090658590605
10.31,-0.04426477928116194
10.31,0.04426477928116194
10.32,-0.04696345593967552
10.32,0.04696345593967552
10.33,-0.049666928326987034
10.33,0.049666928326987034
10.34,-0.05237518413746674
10.34,0.05237518413746674
10.350000000000001,-0.05508820850036939
10.350000000000001,0.05508820850036939
10.360000000000001,-0.05780598512042269
10.360000000000001,0.05780598512042269
10.370000000000003,-0.060528497167387785
10.370000000000003,0.060528497167387785
10.379999999999999,-0.06325572799030614
10.379999999999999,0.06325572799030614
10.39,-0.06598766170732687
10.39,0.06598766170732687
10.4,-0.06872428370661865
10.4,0.06872428370661865
10.41,-0.07146558108288095
10.41,0.07146558108288095
10.42,-0.07421154302712166
10.42,0.07421154302712166
10.430000000000001,-0.07696216118240733
10.430000000000001,0.07696216118240733
10.440000000000001,-0.07971742997494544
10.440000000000001,0.07971742997494544
10.450000000000001,-0.08247734692744425
10.450000000000001,0.08247734692744425
10.46,-0.08524191296000183
10.46,0.08524191296000183
10.47,-0.08801113268259368
10.47,0.08801113268259368
10.48,-0.09078501468228993
10.48,0.09078501468228993
10.49,-0.09356357180768492
10.49,0.09356357180768492
10.5,-0.0963468214526777
10.5,0.0963468214526777
